industry,factory_size,production,electricity_kwh,natural_gas_scm,diesel_litre,raw_material_kg,waste_kg,electricity_emissions,gas_emissions,diesel_emissions,waste_emissions,total_emissions,emission_intensity,energy_intensity,waste_ratio,top_hotspot,second_hotspot,budget,reduction_target,recommended_intervention,renewable_potential,compliance_score,electricity_score,gas_score,diesel_score,waste_score,emission_score,emissions_per_unit,energy_efficiency_score,recommendation_priority,intervention_impact,potential_reduction_tonnes,roi_score
Chemical,Small,87051,136616,12675,915,65516,2207,99.32,24.84,2.45,2.85,129.46,1.49,3.08,3.37,Electricity,Natural Gas,80696,25,Energy Audit,High,92.4,4.267330338715551,2.2935351270553066,1.3239187996469552,1.4877692588535962,9.37,1.487,81.78,Medium,0.1,12.95,0.1605
Ceramics,Medium,159541,214106,17269,1993,116090,6447,155.66,33.85,5.34,8.32,203.17,1.27,2.49,5.55,Electricity,Natural Gas,220042,35,IE4 Motor,Low,76.4,7.687264780866821,3.696437468858994,4.512356575463372,6.480467323840817,22.38,1.273,86.4,Medium,0.15,30.48,0.1385
Chemical,Medium,166020,221281,26668,2740,143486,6633,160.87,52.27,7.34,8.56,229.04,1.38,3.02,4.62,Electricity,Natural Gas,270587,35,Power Factor Correction,Low,82.1,8.003520699283719,6.564524165421027,6.718887908208296,6.69952537422417,27.99,1.38,84.09,Medium,0.07,16.03,0.0592
Cement,Large,293997,379278,67720,6296,223905,12274,275.74,132.73,16.87,15.83,441.17,1.5,3.7,5.48,Electricity,Natural Gas,544413,10,Smart Metering,Medium,87.4,14.976326332402573,19.09255107125062,17.233009708737864,13.335158817086526,64.64,1.501,81.48,Medium,0.05,22.06,0.0405
Chemical,Small,67634,55445,17557,1290,65779,3465,40.31,34.41,3.46,4.47,82.65,1.22,3.51,5.27,Electricity,Natural Gas,91026,10,HVAC Optimization,Low,80.5,0.6853223260895959,3.7836322869955157,2.4382171226831417,2.9664110989412196,9.87,1.222,87.5,Low,0.1,8.26,0.0907
Ceramics,Large,247655,408714,36826,6611,140523,15822,297.14,72.18,17.72,20.41,407.45,1.65,3.27,11.26,Electricity,Natural Gas,399760,35,LED Lighting,Low,70.2,16.2753429646716,9.664611360239164,18.170785525154457,17.515516611902154,61.63,1.645,78.37,Medium,0.08,32.6,0.0815
Ceramics,Large,269571,273340,60186,6109,238446,16807,198.72,117.96,16.37,21.68,354.73,1.32,3.36,7.05,Electricity,Natural Gas,551237,35,VFD Installation,Low,79.7,10.30108049046983,16.79278774289985,16.681376875551635,18.67469879518072,62.45,1.316,85.47,Medium,0.12,42.57,0.0772
Pharmaceutical,Medium,132566,128726,27594,2378,111267,5992,93.58,54.08,6.37,7.73,161.76,1.22,3.14,5.39,Electricity,Natural Gas,237897,35,IE4 Motor,Low,97.4,3.918902513050868,6.846350274040856,5.648720211827008,5.941949616648412,22.36,1.22,87.55,Medium,0.15,24.26,0.102
Plastics,Small,34112,90275,11487,1788,59547,3127,65.63,22.51,4.79,4.03,96.96,2.84,6.28,5.25,Electricity,Natural Gas,67443,15,HVAC Optimization,High,74.8,2.2222896685686533,1.9307424015944197,3.9055604589585173,2.5648046732384087,10.62,2.842,52.54,Low,0.1,9.7,0.1438
Ceramics,Small,34535,123715,8301,863,48677,2550,89.94,16.27,2.31,3.29,111.81,3.24,6.11,5.24,Electricity,Natural Gas,79234,25,LED Lighting,High,68.6,3.697948282141556,0.9591429995017439,1.1694616063548102,1.8893756845564078,7.72,3.238,43.99,Medium,0.08,8.94,0.1128
Chemical,Small,85706,66159,18133,1084,80833,3080,48.1,35.54,2.91,3.97,90.52,1.06,2.95,3.81,Electricity,Natural Gas,69047,35,Solar Rooftop,High,65.8,1.158188660920238,3.9595789735924267,1.8314210061782878,2.5100401606425704,9.46,1.056,91.09,Medium,0.25,22.63,0.3277
Electronics,Large,227376,257757,51186,4422,111655,13898,187.39,100.32,11.85,17.93,317.49,1.4,3.48,12.45,Electricity,Natural Gas,302485,15,Solar Rooftop,High,91.5,9.613330095908703,14.046150971599399,11.694616063548102,15.251916757940856,50.61,1.396,83.75,Medium,0.25,79.37,0.2624
Electronics,Medium,97363,117296,24457,2307,68902,4654,85.27,47.94,6.18,6.0,145.39,1.49,3.84,6.75,Electricity,Natural Gas,234914,35,VFD Installation,Low,87.4,3.414471288090324,5.890321375186846,5.43909973521624,4.362906170135085,19.11,1.493,81.65,Medium,0.12,17.45,0.0743
Leather,Small,24499,95554,13414,1313,54130,1408,69.47,26.29,3.52,1.82,101.1,4.13,9.64,2.6,Electricity,Natural Gas,50221,20,Smart Metering,Low,64.6,2.45538424183562,2.519307424015944,2.50441306266549,0.547645125958379,8.03,4.127,24.8,Low,0.05,5.06,0.1008
Automotive Parts,Small,46051,131038,15604,1514,42479,2544,95.26,30.58,4.06,3.28,133.18,2.89,6.4,5.99,Electricity,Natural Gas,59665,35,VFD Installation,Low,93.6,4.020881388855166,3.1872820129546584,3.100176522506619,1.880248265790434,12.19,2.892,51.46,Medium,0.12,15.98,0.2678
Textile,Large,244724,410462,33203,3572,135082,10201,298.41,65.08,9.57,13.16,386.22,1.58,3.11,7.55,Electricity,Natural Gas,486873,25,Smart Metering,Medium,81.1,16.35243413864271,8.55910563029397,9.179170344218889,10.89813800657174,44.99,1.578,79.82,Medium,0.05,19.31,0.0397
Automotive Parts,Medium,163723,167943,21808,3183,87807,3771,122.09,42.74,8.53,4.86,178.22,1.09,2.45,4.29,Electricity,Natural Gas,212975,15,Energy Audit,High,83.2,5.649508316134515,5.080655206776283,8.031774051191526,3.322380430814166,22.08,1.089,90.37,Low,0.1,17.82,0.0837
Pharmaceutical,Medium,105626,160852,20945,2915,92697,4338,116.94,41.05,7.81,5.6,171.4,1.62,3.64,4.68,Electricity,Natural Gas,298519,30,Smart Metering,Low,82.5,5.336894500424911,4.81751370204285,7.237422771403354,3.9978094194961664,21.39,1.623,78.85,Medium,0.05,8.57,0.0287
Metal Fabrication,Small,35575,114460,14056,1256,80296,2394,83.21,27.55,3.37,3.09,117.22,3.3,7.35,2.98,Electricity,Natural Gas,117183,30,Energy Audit,Low,73.5,3.2894257618064824,2.7154957648231193,2.3389232127096204,1.7068273092369475,10.05,3.295,42.76,Medium,0.1,11.72,0.1
Pharmaceutical,Medium,134858,157078,20265,2315,98216,5855,114.2,39.72,6.2,7.55,167.67,1.24,2.75,5.96,Electricity,Natural Gas,235961,35,IE4 Motor,High,75.6,5.170571810125046,4.61042600896861,5.461165048543689,5.777656078860898,21.02,1.243,87.05,Medium,0.15,25.15,0.1066
Textile,Medium,123410,213876,23109,2645,126915,4022,155.49,45.29,7.09,5.19,213.06,1.73,3.71,3.17,Electricity,Natural Gas,249225,20,Power Factor Correction,High,96.4,7.676945489862814,5.477703039362232,6.44307149161518,3.6235852500912746,23.22,1.726,76.62,Low,0.07,14.91,0.0598
Cement,Medium,155011,223118,32765,2687,155283,5823,162.21,64.22,7.2,7.51,241.14,1.56,3.64,3.75,Electricity,Natural Gas,185869,25,LED Lighting,Medium,95.4,8.084860993080003,8.425199302441456,6.564430714916152,5.741146403797006,28.82,1.556,80.29,Medium,0.08,19.29,0.1038
Cement,Small,30772,71069,17584,901,61500,4152,51.67,34.46,2.41,5.36,93.9,3.05,8.17,6.75,Electricity,Natural Gas,103018,15,VFD Installation,Medium,71.0,1.3748937720043706,3.7914175386148483,1.2797881729920566,3.7787513691128156,10.22,3.051,48.03,Low,0.12,11.27,0.1094
Leather,Large,179054,250660,52312,6184,156876,7326,182.23,102.53,16.57,9.45,310.78,1.74,4.49,4.67,Electricity,Natural Gas,311878,20,HVAC Optimization,High,76.5,9.300109263081218,14.39025909317389,16.902030008826124,7.511865644395764,48.1,1.736,76.41,Low,0.1,31.08,0.0997
Chemical,Medium,151670,225866,19597,1919,136773,6172,164.2,38.41,5.14,7.96,215.71,1.42,2.84,4.51,Electricity,Natural Gas,294806,10,Compressed Air Optimization,Low,98.5,8.205657399538666,4.406452416542102,4.2917034421888784,6.15188024826579,23.06,1.422,83.19,Low,0.12,25.89,0.0878
Chemical,Large,317590,320720,71213,6374,252616,13926,233.16,139.58,17.08,17.96,407.78,1.28,3.35,5.51,Electricity,Natural Gas,596928,35,VFD Installation,Low,71.5,12.39164744445793,20.159130543099156,17.46469549867608,15.279299014238775,65.29,1.284,86.16,Medium,0.12,48.93,0.082
Paper & Pulp,Large,206568,339956,75952,7210,184033,19763,247.15,148.87,19.32,25.49,440.83,2.13,5.5,10.74,Electricity,Natural Gas,361384,20,LED Lighting,Low,85.1,13.240864392375865,21.6056302939711,19.9360105913504,22.15224534501643,76.93,2.134,67.82,Medium,0.08,35.27,0.0976
Ceramics,Small,25229,93937,11716,1290,78847,2239,68.29,22.96,3.46,2.89,97.6,3.87,8.62,2.84,Electricity,Natural Gas,117222,10,Compressed Air Optimization,Medium,70.9,2.3837562219254584,2.0008096661684105,2.4382171226831417,1.5242789339174883,8.35,3.869,30.37,Low,0.12,11.71,0.0999
Chemical,Large,359185,300662,57641,7072,278415,15703,218.58,112.98,18.95,20.26,370.77,1.03,2.54,5.64,Electricity,Natural Gas,347786,35,Energy Audit,High,74.0,11.506616486584921,16.01737668161435,19.527802294792586,17.37860533041256,64.43,1.032,91.6,Medium,0.1,37.08,0.1066
Automotive Parts,Large,225319,257144,64695,6581,262599,12923,186.94,126.8,17.64,16.67,348.05,1.54,4.16,4.92,Electricity,Natural Gas,420847,20,IE4 Motor,Low,80.3,9.586014325603982,18.16922022919781,18.08252427184466,14.101861993428258,59.94,1.545,80.53,Medium,0.15,52.21,0.1241
Plastics,Small,69656,93130,9515,1821,59331,2065,67.71,18.65,4.88,2.66,93.9,1.35,2.83,3.48,Electricity,Natural Gas,146047,20,Smart Metering,Low,78.8,2.34854922908826,1.3297209765819629,4.004854368932039,1.3143483023001097,9.0,1.348,84.78,Low,0.05,4.7,0.0322
Paper & Pulp,Medium,157116,183235,19296,1957,147260,4061,133.21,37.82,5.24,5.24,181.51,1.16,2.46,2.76,Electricity,Natural Gas,162616,30,Solar Rooftop,Medium,87.3,6.324511351220105,4.314586447433981,4.4020300088261255,3.669222343921139,18.71,1.155,88.95,Medium,0.25,45.38,0.2791
Plastics,Large,309966,316907,56712,5190,292864,11234,230.39,111.16,13.91,14.49,369.95,1.19,2.94,3.84,Electricity,Natural Gas,409538,30,IE4 Motor,High,73.9,12.223503702804416,15.733993522670653,13.967343336275375,12.112084702446149,54.04,1.194,88.11,Medium,0.15,55.49,0.1355
Metal Fabrication,Medium,176165,164880,22540,2506,126450,5942,119.87,44.18,6.72,7.67,178.44,1.01,2.29,4.7,Electricity,Natural Gas,267122,30,VFD Installation,Medium,82.1,5.5147505159645505,5.304870453413054,6.03486319505737,5.887185104052574,22.74,1.013,92.01,Medium,0.12,21.41,0.0802
Pharmaceutical,Medium,129899,191975,26064,2869,126704,3443,139.57,51.09,7.69,4.44,202.79,1.56,3.59,2.72,Electricity,Natural Gas,279997,25,IE4 Motor,Low,99.4,6.710574238193516,6.3807922272047835,7.105030891438659,2.939028842643301,23.14,1.561,80.19,Medium,0.15,30.42,0.1086
Chemical,Large,280555,302286,42022,6192,225111,9617,219.76,82.36,16.59,12.41,331.12,1.18,2.69,4.27,Electricity,Natural Gas,402344,25,Energy Audit,Medium,85.4,11.578244506495082,11.249688589935227,16.924095322153573,10.213581599123767,49.97,1.18,88.41,Medium,0.1,33.11,0.0823
Paper & Pulp,Small,97360,82074,18166,1435,54538,1638,59.67,35.61,3.85,2.11,101.24,1.04,2.78,3.0,Electricity,Natural Gas,118373,25,Power Factor Correction,Low,90.3,1.86050746631055,3.970478325859492,2.8684907325684024,0.8123402701715955,9.51,1.04,91.43,Medium,0.07,7.09,0.0599
Electronics,Small,57249,44887,10481,467,62907,1810,32.63,20.54,1.25,2.33,56.75,0.99,2.66,2.88,Electricity,Natural Gas,87841,30,HVAC Optimization,High,99.7,0.21913317955566367,1.6240034877927256,0.0,1.013143483023001,2.86,0.991,92.49,Medium,0.1,5.68,0.0647
Chemical,Small,48787,122210,12262,1443,42458,1820,88.85,24.03,3.87,2.35,119.1,2.44,5.17,4.29,Electricity,Natural Gas,82440,20,Energy Audit,Medium,98.8,3.631783416292339,2.167414050822123,2.8905560458958517,1.0313983205549473,9.72,2.441,61.19,Low,0.1,11.91,0.1445
Metal Fabrication,Medium,124315,158961,23192,3312,133955,6527,115.56,45.46,8.88,8.42,178.32,1.43,3.28,4.87,Electricity,Natural Gas,179509,30,IE4 Motor,Low,76.9,5.2531261381570955,5.5041728948679625,8.41791703442189,6.571741511500548,25.75,1.434,82.93,Medium,0.15,26.75,0.149
Cement,Small,42480,114622,19333,1671,78583,3532,83.33,37.89,4.48,4.56,130.26,3.07,7.45,4.49,Electricity,Natural Gas,105216,35,LED Lighting,Medium,84.2,3.296709967221076,4.325485799701047,3.5635481023830544,3.048557867834976,14.23,3.066,47.7,Medium,0.08,10.42,0.099
Cement,Small,57909,148606,8444,1631,94269,3770,108.04,16.55,4.37,4.86,133.82,2.31,4.17,4.0,Electricity,Natural Gas,59999,30,IE4 Motor,Medium,92.2,4.796649265509288,1.0027404085700051,3.442188879082083,3.322380430814166,12.56,2.311,64.0,Medium,0.15,20.07,0.3345
Steel,Medium,133411,208666,24390,2606,105274,4821,151.7,47.8,6.98,6.22,212.7,1.59,3.49,4.58,Electricity,Natural Gas,190878,20,Power Factor Correction,Low,80.0,7.44688600218526,5.868522670652715,6.32171226831421,4.563709382986492,24.2,1.594,79.47,Low,0.07,14.89,0.078
Plastics,Large,353084,440834,60029,5533,239476,11133,320.49,117.66,14.83,14.36,467.34,1.32,3.03,4.65,Electricity,Natural Gas,408427,15,Smart Metering,Medium,92.1,17.692727934927767,16.746076233183857,14.98234774933804,11.993428258488498,61.41,1.324,85.3,Medium,0.05,23.37,0.0572
Leather,Large,238898,238287,39955,5998,227959,14383,173.23,78.31,16.07,18.55,286.16,1.2,2.8,6.31,Electricity,Natural Gas,392427,25,HVAC Optimization,Low,65.5,8.753793856986764,10.619083208769307,16.350397175639895,15.81781672143118,51.54,1.198,88.02,Medium,0.1,28.62,0.0729
Steel,Medium,197584,238711,21265,4063,123659,6603,173.54,41.68,10.89,8.52,234.63,1.19,2.39,5.34,Electricity,Natural Gas,171313,35,Power Factor Correction,Low,86.8,8.77261138764113,4.915607872446437,10.635481023830538,6.663015699160277,30.99,1.187,88.26,Medium,0.07,16.42,0.0958
Automotive Parts,Medium,127203,201164,31723,2080,109890,4270,146.25,62.18,5.57,5.51,219.51,1.73,4.16,3.89,Electricity,Natural Gas,243824,10,IE4 Motor,High,87.0,7.116061672939177,8.107561036372696,4.766107678729038,3.91566265060241,23.91,1.726,76.62,Low,0.15,32.93,0.1351
Food Processing,Large,268905,384212,42533,4480,215097,8197,279.32,83.36,12.01,10.57,385.26,1.43,3.09,3.81,Electricity,Natural Gas,375278,35,IE4 Motor,High,67.4,15.193638460604586,11.405393622321872,11.871138570167696,8.534136546184738,47.0,1.433,82.95,Medium,0.15,57.79,0.154
Ceramics,Small,33616,113606,9305,1350,57865,1681,82.59,18.24,3.62,2.17,106.62,3.17,6.35,2.91,Electricity,Natural Gas,142570,30,Power Factor Correction,Medium,91.3,3.2517907004977546,1.2658819133034378,2.6147396293027363,0.8671047827674333,8.0,3.172,45.41,Medium,0.07,7.46,0.0523
Cement,Medium,216235,183179,43146,2907,177498,5779,133.17,84.57,7.79,7.45,232.98,1.08,2.91,3.26,Electricity,Natural Gas,271338,15,Energy Audit,Low,76.7,6.322083282748572,11.593796711509714,7.215357458075905,5.686381891201169,30.82,1.077,90.63,Low,0.1,23.3,0.0859
Steel,Medium,112424,178001,26156,3895,114492,5968,129.41,51.27,10.44,7.7,198.82,1.77,4.08,5.21,Electricity,Natural Gas,170804,15,LED Lighting,High,67.7,6.093844846424669,6.408819133034379,10.13901147396293,5.914567360350493,28.56,1.768,75.72,Low,0.08,15.91,0.0931
Food Processing,Small,39004,78712,14129,755,58151,1336,57.22,27.69,2.02,1.72,88.65,2.27,5.74,2.3,Electricity,Natural Gas,67928,20,LED Lighting,Medium,82.1,1.7117882724292826,2.73729446935725,0.8495145631067961,0.45637093829864916,5.75,2.273,64.82,Low,0.08,7.09,0.1044
Electronics,Small,45670,80706,11513,913,60229,1150,58.67,22.57,2.45,1.48,85.17,1.86,4.39,1.91,Electricity,Natural Gas,93133,15,IE4 Motor,High,78.4,1.7998057545222774,1.9400847035376183,1.3239187996469552,0.23731288791529756,5.3,1.865,73.62,Low,0.15,12.78,0.1372
Metal Fabrication,Small,36996,96939,7299,858,78967,1607,70.47,14.31,2.3,2.07,89.15,2.41,4.71,2.04,Electricity,Natural Gas,62404,15,LED Lighting,High,92.9,2.516085953623892,0.6539611360239165,1.1584289496910853,0.7758305951077034,5.1,2.41,61.86,Low,0.08,7.13,0.1143
Paper & Pulp,Small,35860,107570,18965,1451,79864,3750,78.2,37.17,3.89,4.84,124.1,3.46,8.49,4.7,Electricity,Natural Gas,93673,35,VFD Installation,Medium,75.3,2.9853101857472386,4.213378176382661,2.912621359223301,3.3041255932822198,13.42,3.461,39.18,Medium,0.12,14.89,0.159
Metal Fabrication,Medium,119325,157808,20018,3109,113282,6442,114.73,39.24,8.33,8.31,170.61,1.43,3.13,5.69,Electricity,Natural Gas,269952,15,IE4 Motor,Low,83.3,5.2027437173728295,4.535687593423019,7.811120917917035,6.471339905074845,24.02,1.43,83.01,Low,0.15,25.59,0.0948
Chemical,Small,40534,74764,11639,619,44349,1406,54.35,22.81,1.66,1.81,80.63,1.99,4.79,3.17,Electricity,Natural Gas,141997,15,Compressed Air Optimization,Medium,61.7,1.5375743595969407,1.9774539113104135,0.4523389232127095,0.538517707192406,4.51,1.989,70.95,Low,0.12,9.68,0.0682
Paper & Pulp,Small,61298,123480,12537,784,69849,1572,89.77,24.57,2.1,2.03,118.47,1.93,4.12,2.25,Electricity,Natural Gas,70380,15,IE4 Motor,Medium,68.4,3.6876289911375495,2.251494768310912,0.9377758164165932,0.7393209200438114,7.62,1.933,72.16,Low,0.15,17.77,0.2525
Electronics,Small,50138,39915,6735,553,50283,1055,29.02,13.2,1.48,1.36,45.06,0.9,2.19,2.1,Electricity,Natural Gas,83804,35,Energy Audit,Low,88.2,0.0,0.48112855007473837,0.25375110326566636,0.12778386272362188,0.86,0.899,94.47,Medium,0.1,4.51,0.0538
Automotive Parts,Medium,104569,161354,26815,2847,123867,6624,117.3,52.56,7.63,8.54,186.03,1.78,4.24,5.35,Electricity,Natural Gas,290305,30,Energy Audit,Low,94.7,5.35874711666869,6.609678624813155,7.038834951456311,6.681270536692223,25.69,1.779,75.48,Medium,0.1,18.6,0.0641
Automotive Parts,Medium,165565,163270,29041,3039,120356,5279,118.7,56.92,8.14,6.81,190.57,1.15,2.83,4.39,Electricity,Natural Gas,181052,10,HVAC Optimization,Medium,76.6,5.443729513172271,7.288552566018934,7.601500441306267,5.102227090178897,25.44,1.151,89.04,Low,0.1,19.06,0.1053
Metal Fabrication,Large,292912,443670,55724,4134,267930,8949,322.55,109.22,11.08,11.54,454.39,1.55,3.49,3.34,Electricity,Natural Gas,405237,35,Energy Audit,Low,82.7,17.817773461211605,15.43192575984056,10.845101500441306,9.419496166484116,53.51,1.551,80.4,Medium,0.1,45.44,0.1121
Plastics,Large,204168,355091,46133,4824,176688,15242,258.15,90.42,12.93,19.66,381.16,1.87,4.12,8.63,Electricity,Natural Gas,376476,35,Solar Rooftop,Low,97.5,13.908583222046857,12.5046711509716,12.88614298323036,16.830960204454183,56.13,1.867,73.58,Medium,0.25,95.29,0.2531
Plastics,Medium,172566,147256,20229,2218,130917,7022,107.06,39.65,5.94,9.06,161.71,0.94,2.09,5.36,Electricity,Natural Gas,197592,35,Power Factor Correction,Low,66.9,4.7371615879567806,4.599526656701544,5.1743159752868495,7.155896312522819,21.67,0.937,93.65,Medium,0.07,11.32,0.0573
Pharmaceutical,Large,328760,408521,56089,6025,265305,13673,296.99,109.93,16.15,17.64,440.71,1.34,3.04,5.15,Electricity,Natural Gas,469591,25,IE4 Motor,Low,81.6,16.266237707903365,15.54247633283508,16.43865842894969,14.98722161372764,63.23,1.341,84.93,Medium,0.15,66.11,0.1408
Pharmaceutical,Large,252439,396574,33265,6099,230378,13322,288.31,65.2,16.35,17.19,387.05,1.53,3.01,5.78,Electricity,Natural Gas,589996,20,HVAC Optimization,Medium,99.1,15.73934684958116,8.577790234180368,16.659311562224186,14.576487769258852,55.55,1.533,80.79,Medium,0.1,38.71,0.0656
Food Processing,Large,165508,319525,33819,3604,161314,8464,232.29,66.29,9.66,10.92,319.16,1.93,4.08,5.25,Electricity,Natural Gas,343098,25,Power Factor Correction,High,98.9,12.338836955202135,8.747508719481814,9.278464254192409,8.853596202993792,39.22,1.928,72.26,Medium,0.07,22.34,0.0651
Steel,Large,401671,486001,75491,7452,323594,10238,353.32,147.96,19.97,13.21,534.46,1.33,3.18,3.16,Electricity,Natural Gas,323437,35,Energy Audit,Low,93.4,19.68556513293675,21.463938714499257,20.653133274492497,10.943775100401606,72.75,1.331,85.15,High,0.1,53.45,0.1653
Textile,Large,287167,389302,55849,4469,252142,6494,283.02,109.46,11.98,8.38,412.84,1.44,3.38,2.58,Electricity,Natural Gas,326501,35,Smart Metering,Medium,79.5,15.418234794221194,15.469294967613353,11.838040600176523,6.535231836436657,49.26,1.438,82.84,Medium,0.05,20.64,0.0632
Metal Fabrication,Medium,124681,239839,18673,1920,130207,7070,174.36,36.6,5.15,9.12,225.23,1.81,3.5,5.43,Electricity,Natural Gas,290981,20,Energy Audit,Low,75.8,8.822386791307514,4.124626307922273,4.302736098852604,7.210660825118656,24.46,1.806,74.9,Low,0.1,22.52,0.0774
Automotive Parts,Large,270033,366028,45056,6073,219387,14506,266.1,88.31,16.28,18.71,389.4,1.44,3.14,6.61,Electricity,Natural Gas,312196,30,Compressed Air Optimization,High,74.7,14.391161830763627,12.176133532635774,16.582082965578113,15.963855421686748,59.11,1.442,82.75,Medium,0.12,46.73,0.1497
Glass,Large,261224,450777,44556,6337,227968,10762,327.71,87.33,16.98,13.88,445.9,1.71,3.55,4.72,Electricity,Natural Gas,526795,35,Compressed Air Optimization,High,81.8,18.13099429403909,12.02354260089686,17.354368932038835,11.555312157721795,59.06,1.707,77.03,Medium,0.12,53.51,0.1016
Textile,Medium,157001,216048,22499,2892,92990,5590,157.07,44.1,7.75,7.21,216.13,1.38,2.9,6.01,Electricity,Natural Gas,275814,10,HVAC Optimization,Low,76.7,7.772854194488284,5.292414050822123,7.171226831421006,5.4673238408178175,25.7,1.377,84.16,Low,0.1,21.61,0.0783
Textile,Medium,145726,212453,29651,1966,116562,4218,154.45,58.12,5.27,5.44,223.28,1.53,3.56,3.62,Electricity,Natural Gas,187714,35,IE4 Motor,Medium,89.3,7.61381570960301,7.475398604882908,4.435127978817299,3.851770719240599,23.38,1.532,80.81,Medium,0.15,33.49,0.1784
Plastics,Small,38025,136858,7649,1174,68793,3099,99.5,14.99,3.15,4.0,121.64,3.2,5.77,4.5,Electricity,Natural Gas,99856,20,LED Lighting,Low,64.0,4.278256646837441,0.7598405580468361,2.0962047661076784,2.5374224169404895,9.67,3.199,44.83,Low,0.08,9.73,0.0974
Glass,Medium,155722,225118,25549,1884,127515,4332,163.66,50.08,5.05,5.59,224.38,1.44,3.15,3.4,Electricity,Natural Gas,223259,35,LED Lighting,High,61.4,8.172878475172999,6.22353014449427,4.192409532215357,3.9886820007301935,22.58,1.441,82.78,Medium,0.08,17.95,0.0804
Textile,Large,215524,376537,34849,3550,228803,16782,273.74,68.3,9.51,21.65,373.2,1.73,3.45,7.33,Electricity,Natural Gas,404838,30,LED Lighting,Low,66.0,14.85492290882603,9.060475834578973,9.11297440423654,18.6473165388828,51.68,1.732,76.49,Medium,0.08,29.86,0.0738
Glass,Small,54501,72831,11825,1133,62696,2183,52.95,23.18,3.04,2.82,81.99,1.5,3.61,3.48,Electricity,Natural Gas,88605,30,Solar Rooftop,Low,65.3,1.4525919630933593,2.035064773293473,1.974845542806708,1.460387002555677,6.92,1.504,81.42,Medium,0.25,20.5,0.2314
Pharmaceutical,Medium,88456,169509,25962,2800,79472,6334,123.23,50.89,7.5,8.17,189.79,2.15,5.01,7.97,Electricity,Natural Gas,163802,15,Smart Metering,High,75.3,5.718708267573145,6.349651220727454,6.89541041482789,6.3435560423512225,25.31,2.146,67.56,Low,0.05,9.49,0.0579
Glass,Small,49006,86937,13672,1120,76758,2857,63.2,26.8,3.0,3.69,96.69,1.97,4.68,3.72,Electricity,Natural Gas,129224,20,Energy Audit,Low,86.8,2.074784508923152,2.598716990533134,1.9307149161518093,2.2544724351953263,8.86,1.973,71.29,Low,0.1,9.67,0.0748
Pharmaceutical,Medium,111618,152830,23455,1793,93093,5858,111.11,45.97,4.81,7.56,169.45,1.52,3.55,6.29,Electricity,Natural Gas,159426,25,Smart Metering,High,62.5,4.983003520699284,5.583582461385152,3.927625772285966,5.786783497626871,20.28,1.518,81.11,Medium,0.05,8.47,0.0531
Leather,Large,258847,264077,51961,3562,217749,7631,191.98,101.84,9.55,9.84,313.21,1.21,3.1,3.5,Electricity,Natural Gas,442891,20,VFD Installation,Medium,64.1,9.891950953016874,14.282822620827105,9.15710503089144,7.8678349762687105,41.2,1.21,87.76,Low,0.12,37.59,0.0849
Textile,Large,198526,274993,56933,6112,142696,15154,199.92,111.59,16.38,19.55,347.44,1.75,4.41,10.62,Electricity,Natural Gas,354761,30,LED Lighting,High,92.6,10.373922544615755,15.800946686596912,16.692409532215358,16.730558598028477,59.6,1.75,76.11,Medium,0.08,27.8,0.0784
Metal Fabrication,Large,300446,277026,46604,5515,306257,17571,201.4,91.34,14.78,22.67,330.19,1.1,2.56,5.74,Electricity,Natural Gas,558147,35,IE4 Motor,Low,73.1,10.4637610780624,12.647919780767314,14.927184466019416,19.578313253012052,57.62,1.099,90.16,Medium,0.15,49.53,0.0887
Textile,Small,23236,86818,11240,751,45811,3051,63.12,22.03,2.01,3.94,91.1,3.92,8.74,6.66,Electricity,Natural Gas,93788,35,Energy Audit,Low,89.4,2.0699283719800894,1.856003986048829,0.8384819064430713,2.4826579043446513,7.25,3.921,29.25,Medium,0.1,9.11,0.0971
Glass,Medium,119230,174470,23893,3083,120949,3670,126.84,46.83,8.26,4.73,186.66,1.57,3.6,3.03,Electricity,Natural Gas,171788,30,Energy Audit,Low,95.6,5.937841447128809,5.7174887892376685,7.733892321270962,3.2037239868565175,22.59,1.566,80.08,Medium,0.1,18.67,0.1087
Electronics,Large,139705,357267,54971,4448,214082,11642,259.73,107.74,11.92,15.02,394.41,2.82,6.65,5.44,Electricity,Natural Gas,589451,20,Solar Rooftop,High,95.6,14.004491926672333,15.201482311908322,11.771844660194175,12.595837897042713,53.57,2.823,52.95,Medium,0.25,98.6,0.1673
Paper & Pulp,Large,333114,406017,65457,3788,225812,17711,295.17,128.3,10.15,22.85,456.47,1.37,3.24,7.84,Electricity,Natural Gas,414971,20,Power Factor Correction,High,91.2,16.155760592448708,18.40277777777778,9.819064430714915,19.742606790799563,64.12,1.37,84.31,Medium,0.07,31.95,0.077
Cement,Medium,132196,256308,41597,3717,166983,7425,186.34,81.53,9.96,9.58,287.41,2.17,5.23,4.45,Electricity,Natural Gas,198432,10,Energy Audit,Low,81.9,9.549593298531017,11.12045341305431,9.60944395410415,7.630522088353413,37.91,2.174,66.95,Low,0.1,28.74,0.1448
Pharmaceutical,Small,63655,62763,13401,1322,58809,1123,45.63,26.27,3.54,1.45,76.89,1.21,3.2,1.91,Electricity,Natural Gas,135127,20,Compressed Air Optimization,High,80.3,1.0082554328032052,2.516193323368211,2.5264783759929395,0.2099306316173786,6.26,1.208,87.8,Low,0.12,9.23,0.0683
